pub_date	title	venue	excerpt	citation	url_slug	paper_url
2023-06-12	Use of automated capillary immunoassay for quantification of antibodies in chicken sera against recombinant Salmonella enterica serotype Heidelberg proteins	Journal of Microbiological Methods		"Yeh, H.-Y., J. G. Frye, C. R. Jackson, Q. D. Read, J. E. Line, and A. Hinton. 2023. Use of automated capillary immunoassay for quantification of antibodies in chicken sera against recombinant Salmonella enterica serotype Heidelberg proteins. Journal of Microbiological Methods. DOI: 10.1016/j.mimet.2023.106757."	yeh-et-al-2023	https://doi.org/10.1016/j.mimet.2023.106757
2023-05-19	Parental choice and seed size impact the uprightness of progeny from interspecific Glycine hybridizations	Crop Science		"Taliercio, E., D. Eickholt, Q. D. Read, T. Carter, N. Waldeck, and B. Fallen. 2023. Parental choice and seed size impact the uprightness of progeny from interspecific Glycine hybridizations. Crop Science. DOI: 10.1002/csc2.21015."	taliercio-et-al-2023	https://doi.org/10.1002/csc2.21015
2023-05-15	Bacteria disinfection of rice seeds by ultraviolet light irradiation in a biosafe flow cabinet	Plant Health Progress		"Jia, Y. and Q. D. Read. 2023. Bacteria disinfection of rice seeds by ultraviolet light irradiation in a biosafe flow cabinet. Plant Health Progress. DOI: 10.1094/PHP-02-23-0017-RS."	jia-and-read-2023	https://doi.org/10.1094/PHP-02-23-0017-RS
2023-04-11	Optimal timing of fungicide application to manage Fusarium head blight in winter barley	Plant Disease		"Cowger, C., Q. D. Read, L. Clark, and Y. Dong. 2023. Optimal timing of fungicide application to manage Fusarium head blight in winter barley. Plant Disease. DOI: 10.1094/PDIS-01-23-0021-RE."	cowger-et-al-2023	https://doi.org/10.1094/PDIS-01-23-0021-RE
2023-03-16	Evaluating the accuracy and efficiency of test weight instruments for soybean (Glycine max L.) research	Agrosystems, Geosciences & Environment	Open access!	"Fett, R., A. M. Gillen, Q. D. Read, S. Patel, and J. Koebernick. 2023. Evaluating the accuracy and efficiency of test weight instruments for soybean (Glycine max L.) research. Agrosystems, Geosciences & Environment. DOI: 10.1002/agg2.20354."	fett-et-al-2023	https://doi.org/10.1002/agg2.20354
2023-02-16	Charcoal rot severity and soybean yield responses to planting date, irrigation, and genotypes	Plant Disease		"Mengistu, A., J. D. Ray, H. M. Kelly, Q. D. Read, R. J. Smith, N. Bellaloui, and L. A. Schumacher. 2023. Charcoal rot severity and soybean yield responses to planting date, irrigation, and genotypes. Plant Disease. DOI: 10.1094/PDIS-06-22-1329-RE."	mengistu-et-al-2023	https://doi.org/10.1094/PDIS-06-22-1329-RE
2023-02-01	Effectiveness of combined biochar and lignite with poultry litter on soil carbon sequestration and soil health	Open Journal of Soil Science	Open access!	"Adeli, A., J. P. Brooks, D. Miles, T. Misna, Q. D. Read, and J. N. Jenkins. 2023. Effectiveness of combined biochar and lignite with poultry litter on soil carbon sequestration and soil health. Open Journal of Soil Science 13:124-149. DOI: 10.4236/ojss.2023.132006."	adeli-et-al-2023	https://doi.org/10.4236/ojss.2023.132006
2023-01-24	Are ants good organisms to teach elementary students about invasive species in Florida?	Insects	Open access!	"Zollota, S., P. Perez, J. Allen, T. Argenti, Q. D. Read, and M. S. Ascunce. 2023. Are ants good organisms to teach elementary students about invasive species in Florida? Insects 14:118. DOI: 10.3390/insects14020118."	zollota-et-al-2023	https://doi.org/10.3390/insects14020118
2023-01-18	The Brazilian peppertree biological control agent Pseudophilothrips ichini (Thysanoptera: Phlaeothripidae) displays a flexible feeding strategy between foliage and reproductive tissues	Biological Control		"Nestle, R., J. Palacios, A. S. David, Q. D. Read, and G. S. Wheeler. 2023. The Brazilian peppertree biological control agent Pseudophilothrips ichini (Thysanoptera: Phlaeothripidae) displays a flexible feeding strategy between foliage and reproductive tissues. Biological Control 105159. DOI: 10.1016/j.biocontrol.2023.105159."	nestle-et-al-2023	https://doi.org/10.1016/j.biocontrol.2023.105159
2023-01-12	Evaluation of a plant-based infant formula containing almonds and buckwheat on gut microbiota composition, intestine morphology, metabolic and immune markers in a neonatal piglet model	Nutrients	Open access!	"Gurung, M., F. Rosa, B. Yelvington, N. Terry, Q. D. Read, B. D. Piccolo, B. Moody, P. Tripp, H. E. Pittman, B. L. Fay, T. J. Ross, J. D. Sikes, J. B. Flowers, R. Fox, T. LeRoith, R. Talatala, F. Bar-Yoseph, and L. Yeruva. 2023. Evaluation of a plant-based infant formula containing almonds and buckwheat on gut microbiota composition, intestine morphology, metabolic and immune markers in a neonatal piglet model. Nutrients 15:383. DOI: 10.3390/nu15020383."	gurung-et-al-2023	https://doi.org/10.3390/nu15020383
2022-12-23	Buffered peptone water formulation does not influence growth of pESI positive Salmonella serovar Infantis	Journal of Food Protection	Open access!	"McMillan, E. A., M. E. Berrang, Q. D. Read, S. Ramasetti, A. K. Richards, N. W. Shariat, and J. G. Frye. 2023. Buffered peptone water formulation does not influence growth of pESI positive Salmonella serovar Infantis. Journal of Food Protection 86:100033. DOI: 10.1016/j.jfp.2022.100033."	mcmillan-et-al-2023	https://doi.org/10.1016/j.jfp.2022.100033
2022-12-06	Impact of sweetpotato starch structures, thermal properties, and granules sizes on sweetpotato fry textures	Food Hydrocolloids		"Allan, M. C., Q. D. Read, and S. D. Johanningsmeier. 2022. Impact of sweetpotato starch structures, thermal properties, and granules sizes on sweetpotato fry textures. Food Hydrocolloids 2022:108377. DOI: 10.1016/j.foodhyd.2022.108377."	allan-et-al-2022	https://doi.org/10.1016/j.foodhyd.2022.108377
2022-11-11	Topographic wetness index as a proxy for soil moisture in a hillslope catena: flow algorithms and map generalization	Land	Open access!	"Winzeler, H. E., P. R. Owens, Q. D. Read, Z. Libohova, A. Ashworth, and T. Sauer. 2022. Topographic wetness index as a proxy for soil moisture in a hillslope catena: flow algorithms and map generalization. Land 11:2018. DOI: 10.3390/land11112018."	winzeler-et-al-2022	https://doi.org/10.3390/land11112018
2022-10-18	Integrating natural gradients, experiments, and statistical modelling in a distributed network experiment: an example from the WaRM Network	Ecology and Evolution	Open access!	"Prager, C. M., A. T. Classen, M. K. Sundqvist, M. N. Barrios-Garcia, E. K. Cameron, L. Chen, C. Chisholm, T. W. Crowther, J. R. Deslippe, K. Grigulis, J.-S. He, J. A. Henning, M. Hovenden, T. T. Høye, X. Jing, S. Lavorel, J. R. McLaren, D. B. Metcalfe, G. S. Newman, M. L. Nielsen, C. Rixen, Q. D. Read, K. E. Rewcastle, M. Rodriguez-Cabal, D. A. Wardle, S. Wipf, and N. J. Sanders. Integrating natural gradients, experiments, and statistical modelling in a distributed network experiment: an example from the WaRM Network. Ecology and Evolution 12:e9396. DOI: 10.1002/ece3.9396."	prager-et-al-2022	https://doi.org/10.1002/ece3.9396
2022-09-10	Accuracy of genomic prediction of yield and sugar traits in *Saccharum* spp. hybrids	Agriculture	Open access!	"Islam, Md. S., P. McCord, Q. D. Read, L. Qin, A. E. Lipka, S. Sood, J. Todd, and M. Olatoye. 2022. Accuracy of genomic prediction of yield and sugar traits in *Saccharum* spp. hybrids. Agriculture 12:1436. DOI: 10.3390/agriculture12091436."	islam-et-al-2022	https://doi.org/10.3390/agriculture12091436
2022-09-09	Potential of silicon to improve biological control of fall armyworm (*Spodoptera frugiperda*) on maize	Agriculture	Open access!	"Zimba, K. J., Q. D. Read, M. Haseeb, R. L. Meagher, and J. C. Legaspi. 2022. Potential of silicon to improve biological control of fall armyworm (*Spodoptera frugiperda*) on maize. Agriculture 12:1432. DOI: 10.3390/agriculture12091432."	zimba-et-al-2022	https://doi.org/10.3390/agriculture12091432
2022-08-27	Dasymetric population mapping based on US Census data and 30-m gridded estimates of impervious surface	Scientific Data	Open access!	"Swanwick, R. H., Q. D. Read, S. M. Guinn, M. A. Williamson, K. L. Hondula, and A. J. Elmore. 2022. Dasymetric population mapping based on US Census data and 30-m gridded estimates of impervious surface. Scientific Data 9:523. DOI: 10.1038/s41597-022-01603-z."	swanwick-et-al-2022	https://doi.org/10.1038/s41597-022-01603-z
2022-05-13	Towards mapping biodiversity from above: Can fusing lidar and hyperspectral remote sensing predict taxonomic, functional, and phylogenetic tree diversity in temperate forests?	Global Ecology and Biogeography		"Kamoske, A. G., K. M. Dahlin, Q. D. Read, S. Record, S. P. Serbin, S. C. Stark, and P. L. Zarnetske. 2022. Towards mapping biodiversity from above: Can fusing lidar and hyperspectral remote sensing predict taxonomic, functional, and phylogenetic tree diversity in temperate forests? Global Ecology and Biogeography. DOI: 10.1111/geb.13516."	kamoske-et-al-2022	https://doi.org/10.1111/geb.13516
2022-05-01	Computational fluid dynamics modeled air speed through in-shell peanuts in drying wagons compared to experimentally measured air speed.	Journal of the American Society of Agricultural and Biological Engineers		"McIntyre, J. S., C. L. Butts, and Q. D. Read. 2022. Computational fluid dynamics modeled air speed through in-shell peanuts in drying wagons compared to experimentally measured air speed. Journal of the American Society of Agricultural and Biological Engineers 38:489-507. DOI: 10.13031/aea.14771."	mcintyre-butts-and-read-2022	https://doi.org/10.13031/aea.14771
2022-04-15	Evidence, causes, and consequences of declining nitrogen availability in terrestrial ecosystems	Science	"[Response by Olff et al.](https://doi.org/10.1126/science.abq7575) DOI:10.1126/science.abq7575; [rebuttal to response](https://doi.org/10.1126/science.abq8690) DOI:10.1126/science.abq8690"	"Mason, R. E., J. M. Craine, N. K. Lany, M. Jonard, S. V. Ollinger, P. M. Groffman, R. W. Fulweiler, J. Angerer, Q. D. Read, P. B. Reich, P. H. Templer, and A. J. Elmore. 2022. Evidence, causes, and consequences of declining nitrogen availability in terrestrial ecosystems. Science, 376, eabh3767. DOI: 10.1126/science.abh3767."	mason-et-al-2022	https://doi.org/10.1126/science.abh3767
2022-04-04	Biodiversity effects of food system sustainability actions from farm to fork.	PNAS	"Summarized in an accompanying [PNAS commentary](https://www.pnas.org/doi/10.1073/pnas.2204241119); featured in [New Scientist](https://www.newscientist.com/article/mg25433910-100-eating-green-means-considering-biodiversity-as-well-as-climate-change/), [Anthropocene Magazine](https://www.anthropocenemagazine.org/2022/04/reducing-food-waste-is-an-overlooked-solution-to-saving-endangered-species/), [Medium](https://medium.com/@mheidj/these-3-food-choices-matter-most-a5327e76f1e7), and [La Presse](https://www.lapresse.ca/actualites/sciences/2022-04-17/l-actualite-scientifique-a-petites-doses.php) (Montreal daily newspaper; link in French)"	"Read, Q. D., K. L. Hondula, and M. K. Muth. 2022. Biodiversity effects of food system sustainability actions from farm to fork. Proceedings of the National Academy of Sciences, 119, e2113884119. DOI: 10.1073/pnas.2113884119."	read-et-al-2022-pnas	https://doi.org/10.1073/pnas.2113884119
2022-03-12	Identification of quantitative trait loci associated with bacterial leaf spot resistance in baby leaf lettuce	Plant Disease		"Sthapit Kandel, J., G. V. Sandoya Miranda, W. Zhou, Q. D. Read, B. Mou, and I. Simko.	2022. Identification of quantitative trait loci associated with bacterial leaf spot resistance in baby leaf lettuce. Plant Disease. DOI: 10.1094/PDIS-09-21-2087-RE."	sthapit-kandel-et-al-2022	https://doi.org/10.1094/PDIS-09-21-2087-RE
2022-01-03	Plant removal across an elevational gradient marginally reduces rates, substantially reduces variation in mineralization	Ecology		"Rewcastle, K. E., J. A. Henning, Q. D. Read, R. E. Irwin, N. J. Sanders, and A. T. Classen. 2022. Plant removal across an elevational gradient marginally reduces rates, substantially reduces variation in mineralization. Ecology, 103, e03546. DOI: 10.1002/ecy.3546."	rewcastle-et-al-2022	https://doi.org/10.1002/ecy.3546
2021-06-21	Linking terrestrial and aquatic biodiversity to ecosystem function across scales, trophic levels, and realms	Frontiers in Environmental Science	Open access!	"Dahlin, K. M., P. L. Zarnetske, Q. D. Read, L. Twardochleb, A. G. Kamoske, K. S. Cheruvelil, and P. A. Soranno. 2021. Linking terrestrial and aquatic biodiversity to ecosystem function across scales, trophic levels, and realms. Frontiers in Environmental Science, 9, 217. DOI:10.3389/fenvs.2021.692401."	dahlin-et-al-2021	https://www.frontiersin.org/articles/10.3389/fenvs.2021.692401/full
2021-04-20	Climate and multiple dimensions of plant diversity regulate ecosystem carbon exchange along an elevational gradient	Ecosphere	Open access!	"Prager, C. M., X. Jing, J. A. Henning, Q. D. Read, P. Meidl, S. Lavorel, N. J. Sanders, M. Sundqvist, D. A. Wardle, and A. T. Classen. Climate and multiple dimensions of plant diversity regulate ecosystem carbon exchange along an elevational gradient. Ecosphere. DOI:10.1002/ecs2.3472"	prager-et-al-2021	https://dx.doi.org/10.1002/ecs2.3472
2021-04-01	Reducing water scarcity by reducing food loss and waste	Frontiers in Sustainable Food Systems	Open access!	"Marston, L.T., Read, Q.D., Brown, S.P. & Muth, M.K. (2021). Reducing water scarcity by reducing food loss and waste. Frontiers in Sustainable Food Systems, 5. DOI:10.3389/fsufs.2021.651476"	marston-et-al-2021	
2021-02-02	Cost-effectiveness of four food waste interventions: Is food waste reduction a 'win-win?'	Resources, Conservation & Recycling		"Read, Q.D. and M. K. Muth. 2021. Cost-effectiveness of four food waste interventions: Is food waste reduction a 'win-win?' Resources, Conservation and Recycling, 168, 105448. DOI:10.1016/j.resconrec.2021.105448"	read-and-muth-2021	https://www.sciencedirect.com/science/article/pii/S0921344921000550
2021-01-20	Nitrogen and the food system	One Earth		"Metson, G.S., A. Chaudhary, X. Zhang, B. Houlton, A. Oita, N. Raghuram, Q. D. Read, L. Bouwman, H. Tian, A. Uwizeye, and A. J. Eagle, 2021. Nitrogen and the food system. One Earth 4, 3–7. DOI:10.1016/j.oneear.2020.12.018"	metson-et-al-2021-oneearth	http://www.sciencedirect.com/science/article/pii/S2590332220306643
2020-06-01	Remote sensing of geodiversity as a link to biodiversity	Book chapter in Remote Sensing of Biodiversity: Using spectral signals to understand the biology and biodiversity of plants, communities, ecosystems and the tree of life.	Open access!	"Record, S., K. M. Dahlin, P. L. Zarnetske, Q. D. Read, S. L. Malone, K. D. Gaddis, J. M. Grady, J. Costanza, M. L. Hobi, A. M. Latimer, S. Pau, A. M. Wilson, S. V. Ollinger, A. O. Finley, and E. Hestir. 2020. Remote sensing of geodiversity as a link to biodiversity. Book chapter in Remote Sensing of Biodiversity: Using spectral signals to understand the biology and biodiversity of plants, communities, ecosystems and the tree of life. J. Cavender-Bares, J. Gamon, and P. Townsend, eds. Springer International. DOI: 10.1007/978-3-030-33157-3."	record-et-al-2020-remote-sensing-of-biodiversity	https://link.springer.com/book/10.1007/978-3-030-33157-3
2020-01-24	Beyond counts and averages: relating geodiversity to dimensions of biodiversity	Global Ecology and Biogeography		"Read, Q.D., Zarnetske, P.L., Record, S., Dahlin, K.M., Costanza, J.K., Finley, A.O., et al. 2020. Beyond counts and averages: Relating geodiversity to dimensions of biodiversity. Global Ecology and Biogeography, DOI: 10.1111/geb.13061."	read-et-al-2020-global-ecol-biogeog	https://onlinelibrary.wiley.com/doi/full/10.1111/geb.13061
2020-01-14	Assessing the environmental impacts of halving food loss and waste along the food supply chain	Science of the Total Environment	Open access!	"Read, Q. D., S. Brown, A. D. Cuéllar, S. M. Finn, J. A. Gephart, L. T. Marston, E. Meyer, K. A. Weitz, and M. K. Muth. 2020. Assessing the environmental impacts of halving food loss and waste along the food supply chain. Science of the Total Environment 712:136255. DOI:10.1016/j.scitotenv.2019.136255."	read-et-al-2020-sci-tot-env	https://www.sciencedirect.com/science/article/pii/S0048969719362515
2019-07-16	A systems approach to assessing environmental and economic effects of food loss and waste interventions in the United States	Science of the Total Environment	Open access!	"Muth, M. K., C. Birney, A. Cuéllar, S. M. Finn, M. Freeman, J. N. Galloway, I. Gee, J. A. Gephart, K. Jones, L. Low, E. Meyer, Q. D. Read, T. Smith, K. A. Weitz, and S. Zoubek. 2019. A systems approach to assessing environmental and economic effects of food loss and waste interventions in the United States. Science of the Total Environment 685:1240-1254. DOI: 10.1016/j.scitotenv.2019.06.230."	muth-et-al-2019	https://www.sciencedirect.com/science/article/pii/S0048969719328037
2019-02-27	Towards connecting biodiversity and geodiversity across scales with satellite remote sensing	Global Ecology and Biogeography	Open access!	"Zarnetske, P. L., Q. D. Read, S. Record, K. Gaddis, S. Pau, M. Hobi, S. L. Malone, J. K. Costanza, K. M. Dahlin, A. Latimer, A. M. Wilson, J. M. Grady, S. Ollinger, A. O. Finley. 2019. Towards connecting biodiversity and geodiversity across scales with satellite remote sensing. Global Ecology and Biogeography. DOI: 10.1111/geb.12887."	zarnetske-et-al-2019	https://onlinelibrary.wiley.com/doi/full/10.1111/geb.12887
2019-03-12	Fungal colonization of plant roots is resistant to nitrogen addition and resilient to dominant species losses	Ecosphere	Open access!	"Henning, J. A., Q. D. Read, N. J. Sanders, and A. T. Classen. 2019. Fungal colonization of plant roots is resistant to nitrogen addition and resilient to dominant species losses. Ecosphere. DOI: 10.1002/ecs2.2640."	henning-et-al-2019	https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecs2.2640
2018-10-20	"Size, niches, and the latitudinal diversity gradient"	Teaching Issues and Experiments in Ecology	Open access!	"Grady, J. M., Q. D. Read, S. Record, P. L. Zarnetske., B. Baiser, K. Thorne, and J. Belmaker. 2018. Size, niches, and the latitudinal diversity gradient. Teaching Issues and Experiments in Ecology, Vol. 14, Figure Set 1."	grady-et-al-2018	http://tiee.esa.org/vol/v14/issues/figure_sets/grady/abstract.html
2018-10-01	Among-species overlap in rodent body size distributions predicts species richness along a temperature gradient	Ecography	Open access!	"Read, Q. D., J. M. Grady, P. L. Zarnetske, S. Record, B. Baiser, J. Belmaker, M.-N. Tuanmu, A. Strecker, L. Beaudrot, and K. M. Thibault. 2018. Among-species overlap in rodent body size distributions predicts species richness along a temperature gradient. Ecography. DOI: 10.1111/ecog.03641"	read-et-al-2018-ecography	https://onlinelibrary.wiley.com/doi/10.1111/ecog.03641
2018-01-24	Tropical bird species have less variable body sizes	Biology Letters		"Read, Q. D., B. Baiser, J. M. Grady, P. L. Zarnetske, S. Record, and J. Belmaker. 2018. Tropical bird species have less variable body sizes. Biology Letters 20170453. DOI: 10.1098/rsbl.2017.0453"	read-et-al-2018-biology-letters	https://royalsocietypublishing.org/doi/full/10.1098/rsbl.2017.0453
2018-03-06	Aboveground resilience to species loss but belowground resistance to nitrogen addition in a montane plant community	Journal of Plant Ecology		"Read, Q. D., J. A. Henning, A. T. Classen, and N. J. Sanders. 2017. Aboveground resilience to species loss but belowground resistance to nitrogen addition in montane plant communities. Journal of Plant Ecology. DOI: 10.1093/jpe/rtx015"	read-et-al-2018-j-plant-ecology	https://academic.oup.com/jpe/article/11/3/351/3051921
2018-05-01	Short-term responses to warming vary between native vs. exotic species and with latitude in an early successional plant community	Oecologia		"Welshofer, K. B., P. L. Zarnetske, N. K. Lany, and Q. D. Read. 2018. Short-term responses to warming vary between native vs. exotic species and with latitude in an early successional plant community. Oecologia. DOI: h10.1007/s00442-018-4111-9"	welshofer-et-al-2018	https://link.springer.com/article/10.1007/s00442-018-4111-9
2017-09-01	Intraspecific variation in traits reduces ability of trait-based models to predict community structure	Journal of Vegetation Science		"Read, Q. D., J. A. Henning, and N. J. Sanders. 2017. Intraspecific variation in traits reduces ability of trait-based models to predict community structure. Journal of Vegetation Science. DOI: 10.1111/jvs.12555"	read-et-al-2017-j-veg-sci	https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12555
2017-07-01	Consistently inconsistent drivers of patterns of microbial diversity and abundance at macroecological scales	Ecology	Open access! First author is an undergraduate that I helped mentor.	"Hendershot, J. N., Q. D. Read, J. A. Henning, N. J. Sanders, and A. T. Classen. 2017. Consistently inconsistent drivers of patterns of microbial diversity and abundance at macroecological scales. Ecology. DOI: 10.1002/ecy.1829"	hendershot-et-al-2017	https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1829
2017-12-29	Mapping local and global variability in plant trait distributions	PNAS		"Butler, E.E., A. Datta, H. Flores-Moreno, M. Chen, ..., Read, Q., ..., and P. B. Reich. 2017. Mapping local and global variability in plant trait distributions. Proceedings of the National Academy of Sciences. DOI:10.1073/pnas.1708984114 "	butler-et-al-2017	https://www.pnas.org/content/114/51/E10937
2016-07-01	Accounting for the nested nature of genetic variation across levels of organization improves our understanding of biodiversity and community ecology	Oikos	Awarded Editor's Choice.	"Read, Q. D., S. M. Hoban, M. B. Eppinga, J. A. Schweitzer, and J. K. Bailey. 2016. Accounting for the nested nature of genetic variation across levels of organization improves our understanding of biodiversity and community ecology. Oikos 125:895-904. DOI:  10.1111/oik.02760"	read-et-al-2016-oikos	https://onlinelibrary.wiley.com/doi/full/10.1111/oik.02760
2016-07-01	Plant-soil feedbacks: connecting ecosystem ecology and evolution	Functional Ecology		"Van Nuland, M. E., R. C. Wooliver, A. A. Pfennigwerth, Q. D. Read, I. M. Ware, L. Mueller, J. A. Fordyce, J. A. Schweitzer, and J. K. Bailey. 2016. Plant-soil feedbacks: connecting ecosystem ecology and evolution. Functional Ecology. DOI: 10.1111/1365-2435.12690"	vannuland-et-al-2016	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12690
2016-08-01	Consequences of exotic host use: impacts on Lepidoptera and a test of the ecological trap hypothesis	Oecologia	First author is an undergraduate that I helped mentor. Highlighted Student Research.	"Yoon, S. A. and Q. D. Read. 2016. Consequences of exotic host use: impacts on Lepidoptera and a test of the ecological trap hypothesis. Oecologia. DOI: 10.1007/s00442-016-3560-2"	yoon-and-read-2016	https://link.springer.com/article/10.1007/s00442-016-3560-2
2015-09-01	Preparing biology graduate teaching assistants for their roles as instructors: an assessment of institutional approaches	CBE-Life Sciences Education	Open access!	"Schussler, E. E., Q. D. Read, G. Marbach-Ad, K. Miller, and M. Ferzli. 2015. Preparing biology graduate teaching assistants for their roles as instructors: an assessment of institutional approaches. CBE-Life Sciences Education 14:1-11. DOI: 10.1187/cbe.14-11-0196"	schussler-et-al-2015	https://www.lifescied.org/doi/10.1187/cbe.14-11-0196
2014-02-01	Convergent effects of elevation on functional leaf traits within and among species	Functional Ecology	Nominated for the British Ecological Society's Haldane Prize for Young Investigators	"Read, Q. D., L. C. Moorhead, N. G. Swenson, J. K. Bailey, and N. J. Sanders. 2014. Convergent effects of elevation on functional leaf traits within and among species. Functional Ecology 28:37-45. DOI: 10.1111/1365-2435.12162"	read-et-al-2014-functional-ecology	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12162
2013-12-07	Species identity influences belowground arthropod assemblages via functional traits	Annals of Botany Plants	Open access! Awarded Editor's Choice.	"Gorman, C. E., Q. D. Read, M. E. Van Nuland, and others. 2013. Phylogenetic similarity aboveground leads to community similarity belowground through conservatism of functional traits. Annals of Botany Plants plt049. DOI: 10.1093/aobpla/plt049"	gorman-et-al-2013	https://academic.oup.com/aobpla/article/doi/10.1093/aobpla/plt049/163635
2013-11-12	Fire promotes pollinator visitation: implications for ameliorating declines of pollination services	PLoS One	Open access!	"Van Nuland, M. E., E. N. Haag, J. A. Bryant, Q. D. Read, and others. 2013. Fire promotes pollinator visitation: implications for ameliorating declines of pollination services. PLoS One 8:e79853. DOI: 10.1371/journal.pone.0079853"	vannuland-et-al-2013	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0079853
2012-02-29	Evidence from individual inference for high-dimensional coexistence: long term experiments on recruitment response	PLoS One	Open access!	"Clark, J. S., A. S. Powell, B. D. Soltoff, and Q. D. Read. 2012. Evidence from individual inference for high-dimensional coexistence: long term experiments on recruitment response. PLoS One 7:e30050. DOI: 10.1371/journal.pone.0030050"	clark-et-al-2012	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030050
